name,edad,raza,nacionalidad,winner,film,year_ceremony
Marlon Brando,48.0,Blanca,Estados Unidos,False,A Streetcar Named Desire,1952
Montgomery Clift,,,,False,A Place in the Sun,1952
Arthur Kennedy,,,,False,Bright Victory,1952
Fredric March,37.0,Blanca,Estados Unidos,False,Death of a Salesman,1952
Fredric March,45.0,Blanca,Reino Unido,False,Death of a Salesman,1952
Marlon Brando,30.0,Blanca,Rusia,False,Viva Zapata!,1953
Marlon Brando,48.0,Blanca,Estados Unidos,False,Viva Zapata!,1953
Gary Cooper,41.0,Blanca,Estados Unidos,True,High Noon,1953
Gary Cooper,53.0,Blanca,Estados Unidos,True,High Noon,1953
Kirk Douglas,,,,False,The Bad and the Beautiful,1953
José Ferrer,41.0,Blanca,Estados Unidos,False,Moulin Rouge,1953
Alec Guinness,53.0,Blanca,Estados Unidos,False,The Lavender Hill Mob,1953
Marlon Brando,30.0,Blanca,Rusia,False,Julius Caesar,1954
Marlon Brando,48.0,Blanca,Estados Unidos,False,Julius Caesar,1954
Richard Burton,,,,False,The Robe,1954
Montgomery Clift,,,,False,From Here to Eternity,1954
William Holden,35.0,Blanca,Estados Unidos,True,Stalag 17,1954
Burt Lancaster,46.0,Blanca,Estados Unidos,False,From Here to Eternity,1954
Humphrey Bogart,54.0,Blanca,Estados Unidos,False,The Caine Mutiny,1955
Marlon Brando,30.0,Blanca,Rusia,True,On the Waterfront,1955
Marlon Brando,48.0,Blanca,Estados Unidos,True,On the Waterfront,1955
Bing Crosby,41.0,Blanca,Reino Unido,False,The Country Girl,1955
James Mason,,,,False,A Star Is Born,1955
Dan O'Herlihy,,,,False,Adventures of Robinson Crusoe,1955
Ernest Borgnine,42.0,Blanca,Reino Unido,True,Marty,1956
James Cagney,42.0,Blanca,Hungría,False,Love Me or Leave Me,1956
James Dean,,,,False,East of Eden,1956
Frank Sinatra,,,,False,The Man with the Golden Arm,1956
Spencer Tracy,36.0,Blanca,Estados Unidos,False,Bad Day at Black Rock,1956
Spencer Tracy,37.0,Blanca,Estados Unidos,False,Bad Day at Black Rock,1956
Yul Brynner,39.0,Blanca,Reino Unido,True,The King and I,1957
James Dean,,,,False,Giant,1957
Kirk Douglas,,,,False,Lust for Life,1957
Rock Hudson,,,,False,Giant,1957
Sir Laurence Olivier,,,,False,Richard III,1957
Marlon Brando,30.0,Blanca,Rusia,False,Sayonara,1958
Marlon Brando,48.0,Blanca,Estados Unidos,False,Sayonara,1958
Anthony Franciosa,,,,False,A Hatful of Rain,1958
Alec Guinness,53.0,Blanca,Estados Unidos,True,The Bridge on the River Kwai,1958
Charles Laughton,34.0,Blanca,Reino Unido,False,Witness for the Prosecution,1958
Anthony Quinn,,,,False,Wild Is the Wind,1958
Tony Curtis,,,,False,The Defiant Ones,1959
Paul Newman,35.0,Blanca,Estados Unidos,False,Cat on a Hot Tin Roof,1959
David Niven,49.0,Blanca,Estados Unidos,True,Separate Tables,1959
Sidney Poitier,37.0,Blanca,Reino Unido,False,The Defiant Ones,1959
Spencer Tracy,36.0,Blanca,Estados Unidos,False,The Old Man and the Sea,1959
Spencer Tracy,37.0,Blanca,Estados Unidos,False,The Old Man and the Sea,1959
Laurence Harvey,,,,False,Room at the Top,1960
Charlton Heston,36.0,Blanca,Austria,True,Ben-Hur,1960
Jack Lemmon,48.0,Blanca,Australia,False,Some Like It Hot,1960
Paul Muni,42.0,Blanca,Estados Unidos,False,The Last Angry Man,1960
James Stewart,32.0,Blanca,Estados Unidos,False,Anatomy of a Murder,1960
Trevor Howard,,,,False,Sons and Lovers,1961
Burt Lancaster,46.0,Blanca,Estados Unidos,True,Elmer Gantry,1961
Jack Lemmon,48.0,Blanca,Australia,False,The Apartment,1961
Laurence Olivier,41.0,Hispano,Puerto Rico,False,The Entertainer,1961
Spencer Tracy,36.0,Blanca,Estados Unidos,False,Inherit the Wind,1961
Spencer Tracy,37.0,Blanca,Estados Unidos,False,Inherit the Wind,1961
Charles Boyer,,,,False,Fanny,1962
Paul Newman,35.0,Blanca,Estados Unidos,False,The Hustler,1962
Maximilian Schell,41.0,Afroamericana,Estados Unidos,True,Judgment at Nuremberg,1962
Spencer Tracy,36.0,Blanca,Estados Unidos,False,Judgment at Nuremberg,1962
Spencer Tracy,37.0,Blanca,Estados Unidos,False,Judgment at Nuremberg,1962
Stuart Whitman,,,,False,The Mark,1962
Burt Lancaster,46.0,Blanca,Estados Unidos,False,Birdman of Alcatraz,1963
Jack Lemmon,48.0,Blanca,Australia,False,Days of Wine and Roses,1963
Marcello Mastroianni,,,,False,Divorce--Italian Style,1963
Peter O'Toole,,,,False,Lawrence of Arabia,1963
Gregory Peck,46.0,Blanca,Estados Unidos,True,To Kill a Mockingbird,1963
Albert Finney,,,,False,Tom Jones,1964
Richard Harris,,,,False,This Sporting Life,1964
Rex Harrison,57.0,Blanca,Estados Unidos,False,Cleopatra,1964
Paul Newman,35.0,Blanca,Estados Unidos,False,Hud,1964
Sidney Poitier,37.0,Blanca,Reino Unido,True,Lilies of the Field,1964
Richard Burton,,,,False,Becket,1965
Rex Harrison,57.0,Blanca,Estados Unidos,True,My Fair Lady,1965
Peter O'Toole,,,,False,Becket,1965
Anthony Quinn,,,,False,Zorba the Greek,1965
Peter Sellers,,,,False,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1965
Richard Burton,,,,False,The Spy Who Came In from the Cold,1966
Lee Marvin,49.0,Blanca,Estados Unidos,True,Cat Ballou,1966
Laurence Olivier,41.0,Hispano,Puerto Rico,False,Othello,1966
Rod Steiger,45.0,Blanca,Estados Unidos,False,The Pawnbroker,1966
Oskar Werner,,,,False,Ship of Fools,1966
Alan Arkin,,,,False,The Russians Are Coming The Russians Are Coming,1967
Richard Burton,,,,False,Who's Afraid of Virginia Woolf?,1967
Michael Caine,,,,False,Alfie,1967
Steve McQueen,,,,False,The Sand Pebbles,1967
Paul Scofield,46.0,Blanca,Estados Unidos,True,A Man for All Seasons,1967
Warren Beatty,,,,False,Bonnie and Clyde,1968
Dustin Hoffman,37.0,Blanca,Estados Unidos,False,The Graduate,1968
Dustin Hoffman,43.0,Blanca,Reino Unido,False,The Graduate,1968
Paul Newman,35.0,Blanca,Estados Unidos,False,Cool Hand Luke,1968
Rod Steiger,45.0,Blanca,Estados Unidos,True,In the Heat of the Night,1968
Spencer Tracy,36.0,Blanca,Estados Unidos,False,Guess Who's Coming to Dinner,1968
Spencer Tracy,37.0,Blanca,Estados Unidos,False,Guess Who's Coming to Dinner,1968
Alan Arkin,,,,False,The Heart Is a Lonely Hunter,1969
Alan Bates,,,,False,The Fixer,1969
Ron Moody,,,,False,Oliver!,1969
Peter O'Toole,,,,False,The Lion in Winter,1969
Cliff Robertson,41.0,Blanca,Estados Unidos,True,Charly,1969
Richard Burton,,,,False,Anne of the Thousand Days,1970
Dustin Hoffman,37.0,Blanca,Estados Unidos,False,Midnight Cowboy,1970
Dustin Hoffman,43.0,Blanca,Reino Unido,False,Midnight Cowboy,1970
Peter O'Toole,,,,False,"Goodbye, Mr. Chips",1970
Jon Voight,39.0,Blanca,Estados Unidos,False,Midnight Cowboy,1970
John Wayne,62.0,Blanca,Estados Unidos,True,True Grit,1970
Melvyn Douglas,,,,False,I Never Sang for My Father,1971
James Earl Jones,,,,False,The Great White Hope,1971
Jack Nicholson,38.0,Blanca,Estados Unidos,False,Five Easy Pieces,1971
Jack Nicholson,38.0,Blanca,Estados Unidos,False,Five Easy Pieces,1971
Ryan O'Neal,,,,False,Love Story,1971
George C. Scott,43.0,Blanca,Estados Unidos,True,Patton,1971
Peter Finch,59.0,Blanca,Estados Unidos,False,Sunday Bloody Sunday,1972
Gene Hackman,41.0,Blanca,Reino Unido,True,The French Connection,1972
Walter Matthau,,,,False,Kotch,1972
George C. Scott,43.0,Blanca,Estados Unidos,False,The Hospital,1972
Topol,,,,False,Fiddler on the Roof,1972
Marlon Brando,30.0,Blanca,Rusia,True,The Godfather,1973
Marlon Brando,48.0,Blanca,Estados Unidos,True,The Godfather,1973
Michael Caine,,,,False,Sleuth,1973
Laurence Olivier,41.0,Hispano,Puerto Rico,False,Sleuth,1973
Peter O'Toole,,,,False,The Ruling Class,1973
Paul Winfield,,,,False,Sounder,1973
Marlon Brando,30.0,Blanca,Rusia,False,Last Tango in Paris,1974
Marlon Brando,48.0,Blanca,Estados Unidos,False,Last Tango in Paris,1974
Jack Lemmon,48.0,Blanca,Australia,True,Save the Tiger,1974
Jack Nicholson,38.0,Blanca,Estados Unidos,False,The Last Detail,1974
Jack Nicholson,38.0,Blanca,Estados Unidos,False,The Last Detail,1974
Al Pacino,47.0,Afroamericana,Estados Unidos,False,Serpico,1974
Robert Redford,,,,False,The Sting,1974
Art Carney,55.0,Blanca,Estados Unidos,True,Harry and Tonto,1975
Albert Finney,,,,False,Murder on the Orient Express,1975
Dustin Hoffman,37.0,Blanca,Estados Unidos,False,Lenny,1975
Dustin Hoffman,43.0,Blanca,Reino Unido,False,Lenny,1975
Jack Nicholson,38.0,Blanca,Estados Unidos,False,Chinatown,1975
Jack Nicholson,38.0,Blanca,Estados Unidos,False,Chinatown,1975
Al Pacino,47.0,Afroamericana,Estados Unidos,False,The Godfather Part II,1975
Walter Matthau,,,,False,The Sunshine Boys,1976
Jack Nicholson,38.0,Blanca,Estados Unidos,True,One Flew over the Cuckoo's Nest,1976
Jack Nicholson,38.0,Blanca,Estados Unidos,True,One Flew over the Cuckoo's Nest,1976
Al Pacino,47.0,Afroamericana,Estados Unidos,False,Dog Day Afternoon,1976
Maximilian Schell,41.0,Afroamericana,Estados Unidos,False,The Man in the Glass Booth,1976
James Whitmore,,,,False,"Give 'em Hell, Harry!",1976
